Tree ID,treatment,initial_os,initial_female,initial_male,initial_sc,initial_cmbs,initial_aphidrating,initial_sootymold_rating,ant_treatment,final_os,final_female,final_male,final_sc,final_cmbs,final_antrating,final_aphidrating,final_sootymold,final_health,predator_retention,twig_length,initial_cmbsd,final_cmbsd
1,lw_30,3,5,9,25,42,1,3,1,32,3,0,350,385,0,1,2,2,0,86,0.488372093,4.476744186
2,untreated,3,2,38,3,46,1,1,0,18,0,11,89,118,0,1,1,1,0,118.5,0.388185654,0.995780591
3,lw_netted_30,5,0,79,48,132,1,3,0,0,0,2,5,7,0,1,1,2,0,86.5,1.526011561,0.080924855
4,lw_10,33,2,3,25,63,1,2,0,1,67,186,2555,2809,3,1,2,1,0,203,0.310344828,13.83743842
5,lw_netted_30,2,9,13,35,59,1,1,0,6,8,8,388,410,1,1,2,1,0,289.5,0.203799655,1.416234888
6,clean,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,3,0,69.5,0,0
7,untreated_netted,8,11,61,215,295,1,1,0,332,21,15,5061,5429,2,2,2,1,0,311,0.948553055,17.45659164
8,untreated_netted,7,15,5,28,55,1,1,0,34,2,3,1168,1207,0,1,1,1,0,193.5,0.284237726,6.237726098
9,lw_netted_10,1,6,4,10,21,2,3,0,6,0,0,77,83,0,2,3,1,0,317.5,0.066141732,0.261417323
10,untreated,16,10,15,18,59,1,2,0,14,106,287,2436,2843,2,1,1,1,0,242,0.243801653,11.74793388
11,sdb,42,11,11,88,152,1,3,1,82,81,51,11038,11252,3,1,3,1,0,229,0.663755459,49.13537118
12,untreated_netted,12,14,36,48,110,1,1,0,69,9,1,1740,1819,1,1,1,1,0,266.5,0.412757974,6.825515947
13,lw_30,125,14,106,50,295,1,1,1,55,43,161,7185,7444,3,1,2,1,0,243.5,1.211498973,30.57084189
14,untreated,3,3,42,166,214,1,3,1,27,88,13,140,268,3,1,4,2,0,76,2.815789474,3.526315789
15,untreated_netted,12,10,23,15,60,1,1,0,14,6,1,2837,2858,0,1,2,1,0,321.5,0.186625194,8.889580093
16,lw_30,8,2,9,140,159,1,1,1,129,62,36,1939,2166,3,1,1,1,0,200,0.795,10.83
17,lw_netted_10,15,3,15,56,89,1,1,0,26,9,0,146,181,1,1,1,1,0,263,0.338403042,0.688212928
18,lw_30,1,6,9,50,66,1,1,1,30,24,11,1551,1616,2,1,1,1,0,230.5,0.286334056,7.010845987
19,clean,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,346.5,0,0
20,clean,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,247,0,0
21,lw_netted_20,18,3,2,10,33,,,0,0,1,1,640,642,0,1,2,1,1,247.5,0.133333333,2.593939394
22,lw_10,5,0,1,28,34,1,2,0,27,19,23,915,984,3,1,1,1,1,215.5,0.157772622,4.56612529
23,sdb,41,20,0,85,146,1,2,1,99,240,113,3110,3562,4,1,2,1,0,245,0.595918367,14.53877551
24,lw_netted_30,19,0,63,141,223,1,3,0,26,5,1,1581,1613,3,1,3,1,0,209.5,1.064439141,7.69928401
25,untreated,19,4,20,30,73,1,2,1,301,36,15,5510,5862,3,1,3,1,0,239,0.305439331,24.52719665
26,clean,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,287.5,0,0
27,untreated,6,2,26,60,94,1,2,1,39,1205,9,3607,4860,3,1,2,1,0,194,0.484536082,25.05154639
28,clean,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,247,0,0
29,sdb_netted,3,4,10,15,32,1,3,0,0,1,0,0,1,0,1,3,1,1,269,0.118959108,0.003717472
30,clean,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,2,0,493,0,0
31,lw_30,36,22,135,54,247,1,3,1,81,326,88,3733,4228,3,1,2,1,0,204.5,1.207823961,20.67481663
32,lw_10,17,12,9,69,107,1,2,1,19,202,64,2970,3255,3,1,2,1,0,216.5,0.494226328,15.03464203
33,lw_30,29,26,22,11,88,1,1,0,1,112,14,1425,1552,3,1,1,1,0,184,0.47826087,8.434782609
35,lw_10,2,8,2,53,65,1,3,1,121,39,1,4362,4523,3,1,3,1,0,210.5,0.308788599,21.48693587
36,clean,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,1,0,238.5,0,0
37,lw_30,23,7,2,10,42,1,2,0,4,0,3,118,125,2,1,2,1,1,212,0.198113208,0.589622642
38,untreated,2,0,9,14,25,5,5,0,26,2,0,287,315,2,1,4,1,0,191.5,0.130548303,1.644908616
39,untreated,6,1,20,39,66,1,3,1,36,0,0,1502,1538,3,1,3,1,0,179,0.368715084,8.592178771
40,lw_10,4,2,53,31,90,2,2,0,120,6,25,1926,2077,3,1,2,1,0,195.25,0.460947503,10.63764405
41,lw_30,14,7,12,0,33,1,3,0,28,5,4,760,797,2,1,2,1,0,255.5,0.129158513,3.119373777
42,sdb_netted,15,40,309,113,477,1,2,0,0,0,0,14,14,0,1,3,1,2,232.5,2.051612903,0.060215054
43,lw_30,31,5,6,5,47,1,4,0,5,1,18,1526,1550,3,1,3,1,0,289,0.162629758,5.363321799
44,lw_netted_10,4,0,1,16,21,1,2,0,5,0,0,111,116,0,1,2,1,0,289.5,0.07253886,0.400690846
45,lw_20,2,8,4,3,17,1,3,1,1,0,2,0,3,0,1,3,1,0,289,0.058823529,0.010380623
46,lw_netted_30,18,6,32,31,87,1,3,0,2,0,2,2059,2063,2,1,2,2,0,224.5,0.38752784,9.189309577
47,lw_30,3,1,45,130,179,1,4,1,10,65,74,36,185,2,1,5,3,0,57,3.140350877,3.245614035
48,sdb_netted,51,12,36,84,183,1,4,0,2,0,0,118,120,2,1,4,2,3,221.5,0.826185102,0.541760722
49,lw_netted_30,38,4,35,176,253,1,2,0,52,127,0,731,910,4,1,2,1,0,218,1.160550459,4.174311927
50,sdb_netted,13,1,6,3,23,1,3,0,0,0,0,2,2,0,1,2,2,0,275,0.083636364,0.007272727
51,lw_netted_10,38,1,21,18,78,1,2,0,2,0,2,1058,1062,3,1,2,2,0,248.5,0.3138833,4.273641851
52,lw_netted_20,16,7,377,91,491,1,2,0,53,16,2,102,173,0,1,3,2,0,308,1.594155844,0.561688312
53,lw_20,16,5,34,114,169,1,3,1,173,127,188,6148,6636,3,1,3,1,1,201.5,0.838709677,32.93300248
54,lw_20,61,15,26,17,119,1,3,0,7,296,43,2304,2650,3,1,4,2,0,199,0.59798995,13.31658291
55,lw_netted_30,2,0,0,0,2,1,2,0,0,0,0,0,0,0,1,3,2,0,286,0.006993007,0
56,lw_netted_20,0,4,1,33,38,1,2,0,6,2,0,1,9,0,1,2,1,0,294.5,0.129032258,0.030560272
57,clean,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,528.5,0,0
58,lw_netted_30,11,0,27,183,221,1,3,0,10,94,20,81,205,2,1,4,3,0,79.5,2.779874214,2.578616352
