treatment,timepoint,density
sdb,initial,0.368768495
lw_netted,initial,0.567901235
untreated,initial,0.287974684
untreated,initial,1.673819742
lw_netted,initial,0.305084746
both,initial,0.040390441
sdb,initial,0.177014531
untreated_netted,initial,0.739979445
clean,initial,0
lw_netted,initial,0.169009073
sdb_netted,initial,0.742138365
lw,initial,0.296072508
both_netted,initial,0.555144338
untreated,initial,0.944333996
lw_netted,initial,1.510957324
sdb,initial,0.32288699
both_netted,initial,0.199288256
untreated,initial,0.432098765
untreated_netted,initial,0.058430718
both,initial,0.160226202
sdb,initial,0.018050542
clean,initial,0
untreated_netted,initial,0.052592036
untreated,initial,0.546448087
lw,initial,0.122873346
both_netted,initial,0.062646829
untreated,initial,0.212201592
untreated,initial,0.011160714
untreated_netted,initial,0.020818876
sdb,initial,0.1179941
lw,initial,0.042016807
clean,initial,0
both_netted,initial,0.119402985
sdb,initial,0.117647059
untreated,initial,0.009017133
clean,initial,0
lw,initial,0.22393282
lw_netted,initial,0.935720098
untreated_netted,initial,0.070175439
untreated,initial,0.619047619
both_netted,initial,1.358641359
both,initial,0.024469821
lw,initial,0.116009281
clean,initial,0
sdb,initial,0.327181208
clean,initial,0
lw,initial,0.91349481
untreated_netted,initial,0.059701493
untreated_netted,initial,0.070646415
both,initial,0.392890552
sdb_netted,initial,0.711111111
lw,initial,0.695249131
both,initial,0.158730159
both,initial,1.463829787
both,initial,0.854978355
sdb,initial,0.311493018
sdb_netted,initial,1.27348643
untreated,initial,0.181818182
lw_netted,initial,0.419161677
both_netted,initial,0.635888502
untreated_netted,initial,0.035885167
lw_netted,initial,0.27924688
clean,initial,0
lw_netted,initial,0.060510982
sdb_netted,initial,0.029486927
both_netted,initial,0.320720721
lw,initial,0.105011933
both_netted,initial,0.534228188
clean,initial,0
clean,initial,0
lw,initial,0.209643606
both_netted,initial,0.369733448
lw_netted,initial,0.372836218
both,initial,0.494092374
both_netted,initial,0.321654222
lw,initial,0.613756614
clean,initial,0.034188034
both,initial,0.632
sdb_netted,initial,0.410958904
lw_netted,initial,0.831739962
both,initial,0.02065049
untreated_netted,initial,0.315607436
both_netted,initial,0.222841226
untreated,initial,0.032745134
both,initial,0.022740193
lw_netted,initial,0.072103431
lw,initial,0.101156069
sdb,initial,0.573033708
untreated,initial,0.195035461
sdb_netted,initial,0.554323725
sdb_netted,initial,0.263459336
lw_netted,initial,0.173066522
untreated_netted,initial,0.598130841
sdb_netted,initial,1.153119093
sdb,initial,1.220715166
sdb,initial,0.014005602
clean,initial,0
untreated_netted,initial,0.523809524
sdb_netted,initial,0.205714286
lw,initial,0.022172949
sdb,initial,0.43153527
sdb_netted,initial,0.089775561
sdb_netted,initial,0.532319392
sdb_netted,initial,0.044642857
both,initial,0.913857678
both,initial,0.008203445
sdb_netted,initial,0.036443149
sdb,initial,0.018421861
both_netted,initial,0.391861341
lw_netted,initial,0.069767442
lw,initial,1.155115512
clean,initial,0
clean,initial,0.045248869
both_netted,initial,0.373913043
untreated_netted,initial,2.043301759
untreated_netted,initial,0.156682028
untreated,initial,0.081823495
clean,initial,0
both_netted,initial,1.214953271
lw,initial,0.073409462
sdb,initial,0.974440895
both,initial,0.033508856
sdb_netted,initial,0.186379928
clean,initial,0
untreated,initial,0.057864282
lw_netted,initial,0.101716465
sdb,final,0.607785113
lw_netted,final,2.555555556
untreated,final,8.382911392
untreated,final,21.37339056
lw_netted,final,3.97094431
both,final,0.097610232
sdb,final,8.023778071
untreated_netted,final,8.951695786
clean,final,0.015560166
lw_netted,final,3.604340865
sdb_netted,final,0.503144654
lw,final,12.77945619
both_netted,final,22.90895633
untreated,final,15.85487078
lw_netted,final,15.06343714
sdb,final,7.113010446
both_netted,final,2.15658363
untreated,final,5.767195767
untreated_netted,final,0
both,final,2.7332705
sdb,final,0
clean,final,0
untreated_netted,final,0.120210368
untreated,final,23.69398907
lw,final,4.007561437
both_netted,final,2.145653876
untreated,final,4.071618037
untreated,final,0.435267857
untreated_netted,final,1.748785566
sdb,final,4.159292035
lw,final,2.18487395
clean,final,0
both_netted,final,4.888059701
sdb,final,3.184313725
untreated,final,2.046889089
clean,final,0
lw,final,6.815955213
lw_netted,final,5.866558177
untreated_netted,final,1.953216374
untreated,final,17.16666667
both_netted,final,16.06393606
both,final,1.949429038
lw,final,3.955916473
clean,final,0.037568306
sdb,final,5.243288591
clean,final,0
lw,final,12.48442907
untreated_netted,final,1.149253731
untreated_netted,final,0.533380431
both,final,9.607109448
sdb_netted,final,5.444444444
lw,final,6.17612978
both,final,4.343434343
both,final,12.82553191
both,final,12.9004329
sdb,final,4.350161117
sdb_netted,final,3.893528184
untreated,final,5.121212121
lw_netted,final,3.817365269
both_netted,final,8.257839721
untreated_netted,final,0.505382775
lw_netted,final,2.65072985
clean,final,0.006514658
lw_netted,final,0.616315554
sdb_netted,final,0.147434637
both_netted,final,0.52972973
lw,final,0.391408115
both_netted,final,9.154362416
clean,final,0
clean,final,0
lw,final,6.184486373
both_netted,final,10.43852107
lw_netted,final,12.00399467
both,final,8.496240602
both_netted,final,0.970706491
lw,final,16.17989418
clean,final,0
both,final,11.184
sdb_netted,final,2.319634703
lw_netted,final,10.70745698
both,final,0.717604543
untreated_netted,final,0.345871163
both_netted,final,8.588672238
untreated,final,0.782244861
both,final,0.149706273
lw_netted,final,4.291397315
lw,final,1.666666667
sdb,final,5.797752809
untreated,final,3.537234043
sdb_netted,final,0.155210643
sdb_netted,final,0.595647194
lw_netted,final,1.773931855
untreated_netted,final,3.158878505
sdb_netted,final,0.236294896
sdb,final,7.768187423
sdb,final,0.014005602
clean,final,0
untreated_netted,final,1.752380952
sdb_netted,final,0
lw,final,1.286031042
sdb,final,9.170124481
sdb_netted,final,0.394014963
sdb_netted,final,2.851711027
sdb_netted,final,0.361842105
both,final,10.47940075
both,final,0.287120591
sdb_netted,final,0.437317784
sdb,final,2.348787228
both_netted,final,6.676714393
lw_netted,final,0.639534884
lw,final,23.30033003
clean,final,0
clean,final,0.011312217
both_netted,final,3.739130435
untreated_netted,final,8.457374831
untreated_netted,final,6.082949309
untreated,final,3.407364115
clean,final,0
both_netted,final,0.171339564
lw,final,1.924959217
sdb,final,9.920127796
both,final,1.134514122
sdb_netted,final,0.874551971
clean,final,0.00748503
untreated,final,0.883745397
lw_netted,final,2.047043865
