treatment,timepoint,density,count
lw_30,initial,0.488372093,42
untreated,initial,0.388185654,46
lw_netted_30,initial,1.526011561,132
lw_10,initial,0.310344828,63
lw_netted_30,initial,0.203799655,59
clean,initial,0,0
untreated_netted,initial,0.948553055,295
untreated_netted,initial,0.284237726,55
lw_netted_10,initial,0.066141732,21
untreated,initial,0.243801653,59
sdb,initial,0.663755459,152
untreated_netted,initial,0.412757974,110
lw_30,initial,1.211498973,295
untreated,initial,2.815789474,214
untreated_netted,initial,0.186625194,60
lw_30,initial,0.795,159
lw_netted_10,initial,0.338403042,89
lw_30,initial,0.286334056,66
clean,initial,0,0
clean,initial,0,0
lw_netted_20,initial,0.133333333,33
lw_10,initial,0.157772622,34
sdb,initial,0.595918367,146
lw_netted_30,initial,1.064439141,223
untreated,initial,0.305439331,73
clean,initial,0,0
untreated,initial,0.484536082,94
clean,initial,0,0
sdb_netted,initial,0.118959108,32
clean,initial,0,0
lw_30,initial,1.207823961,247
lw_10,initial,0.494226328,107
lw_30,initial,0.47826087,88
lw_10,initial,0.308788599,65
clean,initial,0,0
lw_30,initial,0.198113208,42
untreated,initial,0.130548303,25
untreated,initial,0.368715084,66
lw_10,initial,0.460947503,90
lw_30,initial,0.129158513,33
sdb_netted,initial,2.051612903,477
lw_30,initial,0.162629758,47
lw_netted_10,initial,0.07253886,21
lw_20,initial,0.058823529,17
lw_netted_30,initial,0.38752784,87
lw_30,initial,3.140350877,179
sdb_netted,initial,0.826185102,183
lw_netted_30,initial,1.160550459,253
sdb_netted,initial,0.083636364,23
lw_netted_10,initial,0.3138833,78
lw_netted_20,initial,1.594155844,491
lw_20,initial,0.838709677,169
lw_20,initial,0.59798995,119
lw_netted_30,initial,0.006993007,2
lw_netted_20,initial,0.129032258,38
clean,initial,0,0
lw_netted_30,initial,2.779874214,221
lw_netted_10,initial,0.206140351,47
clean,initial,0,0
lw_10,initial,0.135433071,43
lw_netted_10,initial,0.285185185,77
lw_netted_20,initial,0.668246445,141
lw_netted_20,initial,0.04587156,10
untreated,initial,0.259433962,55
lw_netted_30,initial,0.155279503,50
lw_netted_30,initial,0.849858357,150
lw_20,initial,0.357366771,57
lw_10,initial,0.165137615,45
sdb,initial,0.194139194,53
untreated_netted,initial,0.250569476,55
lw_netted_10,initial,0.698795181,116
lw_netted_10,initial,0.188539741,51
lw_netted_20,initial,1.015384615,231
clean,initial,0,0
clean,initial,0,0
untreated,initial,0.586538462,122
clean,initial,0,0
lw_20,initial,0.23853211,52
lw_20,initial,0.666666667,106
sdb_netted,initial,0.418118467,120
sdb_netted,initial,0.03196347,7
lw_netted_30,initial,0.566666667,187
sdb_netted,initial,0.024489796,6
clean,initial,0,0
lw_20,initial,0.411134904,96
lw_netted_10,initial,0.367149758,76
lw_20,initial,0.084033613,20
lw_20,initial,1.212121212,200
sdb,initial,0.094986807,18
lw_netted_10,initial,0.32231405,78
sdb,initial,0.484679666,87
sdb,initial,0.686192469,82
lw_netted_20,initial,0.370967742,92
untreated_netted,initial,0.85286783,171
clean,initial,0,0
untreated_netted,initial,2.440993789,393
lw_10,initial,0.781456954,177
untreated,initial,0.235067437,61
untreated_netted,initial,0.120155039,31
sdb,initial,0.06626506,11
clean,initial,0,0
untreated,initial,0.605442177,89
untreated,initial,1.780952381,374
lw_netted_20,initial,0.355353075,78
untreated_netted,initial,0.145098039,74
untreated,initial,0.018390805,4
lw_10,initial,0.146868251,34
lw_20,initial,0.054054054,12
untreated,initial,1.467048711,256
lw_netted_20,initial,1.818548387,451
untreated_netted,initial,0.281553398,58
untreated_netted,initial,1.313351499,241
untreated_netted,initial,0.548628429,110
lw_netted_20,initial,0.472491909,73
untreated_netted,initial,1.014892443,184
lw_10,initial,0.019230769,3
untreated_netted,initial,0.1472,46
lw_30,final,4.476744186,385
untreated,final,0.995780591,118
lw_netted_30,final,0.080924855,7
lw_10,final,13.83743842,2809
lw_netted_30,final,1.416234888,410
clean,final,0,0
untreated_netted,final,17.45659164,5429
untreated_netted,final,6.237726098,1207
lw_netted_10,final,0.261417323,83
untreated,final,11.74793388,2843
sdb,final,49.13537118,11252
untreated_netted,final,6.825515947,1819
lw_30,final,30.57084189,7444
untreated,final,3.526315789,268
untreated_netted,final,8.889580093,2858
lw_30,final,10.83,2166
lw_netted_10,final,0.688212928,181
lw_30,final,7.010845987,1616
clean,final,0,0
clean,final,0,0
lw_netted_20,final,2.593939394,642
lw_10,final,4.56612529,984
sdb,final,14.53877551,3562
lw_netted_30,final,7.69928401,1613
untreated,final,24.52719665,5862
clean,final,0,0
untreated,final,25.05154639,4860
clean,final,0,0
sdb_netted,final,0.003717472,1
clean,final,0,0
lw_30,final,20.67481663,4228
lw_10,final,15.03464203,3255
lw_30,final,8.434782609,1552
lw_10,final,21.48693587,4523
clean,final,0,0
lw_30,final,0.589622642,125
untreated,final,1.644908616,315
untreated,final,8.592178771,1538
lw_10,final,10.63764405,2077
lw_30,final,3.119373777,797
sdb_netted,final,0.060215054,14
lw_30,final,5.363321799,1550
lw_netted_10,final,0.400690846,116
lw_20,final,0.010380623,3
lw_netted_30,final,9.189309577,2063
lw_30,final,3.245614035,185
sdb_netted,final,0.541760722,120
lw_netted_30,final,4.174311927,910
sdb_netted,final,0.007272727,2
lw_netted_10,final,4.273641851,1062
lw_netted_20,final,0.561688312,173
lw_20,final,32.93300248,6636
lw_20,final,13.31658291,2650
lw_netted_30,final,0,0
lw_netted_20,final,0.030560272,9
clean,final,0,0
lw_netted_30,final,2.578616352,205
lw_netted_10,final,0.271929825,62
clean,final,0,0
lw_10,final,11.17165354,3547
lw_netted_10,final,0.003703704,1
lw_netted_20,final,11.34123223,2393
lw_netted_20,final,0,0
untreated,final,13.41981132,2845
lw_netted_30,final,0.409937888,132
lw_netted_30,final,2.957507082,522
lw_20,final,0.094043887,15
lw_10,final,3.012844037,821
sdb,final,8.655677656,2363
untreated_netted,final,0.824601367,181
lw_netted_10,final,10.36144578,1720
lw_netted_10,final,0.510166359,138
lw_netted_20,final,0.720879121,164
clean,final,0,0
clean,final,0,0
untreated,final,14.86057692,3091
clean,final,0,0
lw_20,final,10.03211009,2187
lw_20,final,9.402515723,1495
sdb_netted,final,0.299651568,86
sdb_netted,final,0.02739726,6
lw_netted_30,final,3.193939394,1054
sdb_netted,final,0,0
clean,final,0,0
lw_20,final,7.079229122,1653
lw_netted_10,final,5.8647343,1214
lw_20,final,2.138655462,509
lw_20,final,29.85454545,4926
sdb,final,0,0
lw_netted_10,final,5.409090909,1309
sdb,final,7.598885794,1364
sdb,final,9.924686192,1186
lw_netted_20,final,0.032258065,8
untreated_netted,final,17.10224439,3429
clean,final,0,0
untreated_netted,final,7.850931677,1264
lw_10,final,3.518763797,797
untreated,final,4.366088632,1133
untreated_netted,final,0.639534884,165
sdb,final,1.801204819,299
clean,final,0,0
untreated,final,31.58503401,4643
untreated,final,35.55714286,7467
lw_netted_20,final,1.375854214,302
untreated_netted,final,5.823529412,2970
untreated,final,0.308045977,67
lw_10,final,5.330453564,1234
lw_20,final,0.630630631,140
untreated,final,47.75931232,8334
lw_netted_20,final,22.49596774,5579
untreated_netted,final,6.131067961,1263
untreated_netted,final,2.147138965,394
untreated_netted,final,6.109725686,1225
lw_netted_20,final,8.867313916,1370
untreated_netted,final,37.90402648,6872
lw_10,final,0.096153846,15
untreated_netted,final,9.0944,2842
